id,brand,vehicle_type,model,release_year,variant,type,usable_battery_size,energy_consumption
72475a6a-aae2-da13-1d17-94cc07e5104f,Aiways,car,U5,2021.0,,bev,63.0,18.8
6033b26c-1b3c-441b-9f78-7b7cd5512051,Aiways,car,U5,2020.0,,bev,63.0,18.8
1c9126d4-24d6-4e9f-a49d-15813fa49728,Artega,car,Karo,2020.0,Range Plus,bev,14.4,7.2
d97748b1-e384-4238-a225-d498bccd902c,Artega,car,Karo,2020.0,Range,bev,8.0,6.4
3e99e8b9-dcea-755b-2b49-781757dd3946,Audi,car,Q4 Sportback e-tron,2021.0,35,bev,52.0,176.0
04baeaa4-6bfc-4700-a553-20748aab54be,Audi,car,Q4 Sportback e-tron,2021.0,50 quattro ,bev,77.0,190.0
6f9de791-c484-9c22-ba3c-306ace49de76,Audi,car,Q4 e-tron,2021.0,50 quattro,bev,77.0,197.0
0ae12bf4-e82a-622b-f669-2fa7bdf4b2fb,Audi,car,Q4 e-tron,2021.0,35,bev,52.0,182.0
409a3d54-3dec-b5bb-5d6c-2a48749728c3,Audi,car,Q4 e-tron,2021.0,,bev,77.0,188.0
c6a6bd26-6a8f-4ab7-baf3-6cfa057044e3,Audi,car,e-tron 50,2019.0,,bev,65.0,22.7
cfaf82d8-0255-4e13-8bf7-2711ed619bfb,Audi,car,e-tron S,2020.0,,bev,95.0,27.0
a9a177bf-9ce5-4b67-b3ef-51af248b48c2,Audi,car,e-tron 55,2019.0,,bev,86.5,23.4
27d7610e-9a77-498a-b1b5-28d4bc92cbf2,Audi,car,e-tron 55,2019.0,22kW-AC,bev,86.5,23.4
059c028d-b2a6-4a8d-947a-158c7537b290,Audi,car,e-tron 50,2019.0,22kW-AC,bev,65.0,22.7
c8e05c0b-05c0-4aac-9f12-35a6a3687e10,Audi,car,A3 Sportback 40 e-tron,2020.0,,phev,8.8,12.4
d5719a82-d898-45b5-a8f7-95cd89c9d886,Audi,car,e-tron S,2020.0,Sportback,bev,86.5,27.0
0ee859e4-e1d4-4a1c-88bc-acc42ba0d503,Audi,car,A6,2020.0,50 TFSI e,phev,14.1,17.0
81fabe9c-6f4a-4590-8170-8672cf556342,Audi,car,A6,2020.0,55 TFSI e,phev,14.1,17.0
dd6918fe-4a13-4420-b6f1-508b0a4f959d,Audi,car,A7 55TFSI E,2019.0,Sportback e quattro,phev,14.1,14.1
63028928-53d3-4049-9964-9109ba005599,Audi,car,Q5 55 TFSI,2019.0,e Quattro,phev,14.1,17.0
9cb39abb-097d-442c-87e4-1437134898e1,Audi,car,Q7 e-tron,2020.0,,phev,17.3,17.0
aceb9326-181f-cc73-0467-4c63ee47c0fb,BMW,car,i3S,2020.0,120 Ah,bev,37.9,16.2
e59115ea-4d72-094c-2941-1494f8005ae2,BMW,car,i3,2020.0,120 Ah,bev,37.9,15.4
65dbdb2c-2dc1-55c8-2c64-52aa1a058bde,BMW,car,X5,2020.0,xDrive25e,phev,22.2,29.1
afc8b8fa-3bd3-0488-1c5e-3dee70e61eff,BMW,car,X3,2020.0,xDrive25e,phev,11.15,28.4
a616dcbc-4149-0421-9e0b-0dc594a702e0,BMW,car,X2,2020.0,xDrive25e,phev,8.8,19.1
b322c1ff-4efd-fa27-bb63-6974227c4c91,BMW,car,X1,2020.0,xDrive25e,phev,8.8,19.7
9685bd64-53aa-4b5f-9322-c04005d11edf,BMW,car,745Le,2020.0,xDrive,phev,11.15,25.6
70606668-9b9e-a8d7-6c15-e4198f3eb38a,BMW,car,745Le,2020.0,,phev,11.15,23.3
157486bb-1636-1b35-6382-b6320ab2a80e,BMW,car,740 E,2016.0,,phev,7.4,17.0
6177d44b-2aae-dc5f-a770-6900b81c91dd,BMW,car,545,2020.0,xDrive Berline,phev,11.15,17.2
01936832-c987-da0e-cbb3-9f6793becdfe,BMW,car,530e,2020.0,xDrive Touring,phev,11.15,18.5
9587d885-c16c-7465-9a18-59b5d50fd046,BMW,car,530e,2020.0,Touring,phev,11.15,17.0
8be48c23-71fe-04a4-b8e6-36364a3d0cc0,BMW,car,530e,2020.0,xDrive Berline,phev,11.15,17.4
1914d6e6-7d1b-c453-53ac-69a302a6a339,BMW,car,530e,2020.0,Berline,phev,11.15,16.3
dda42a87-6ea2-fbb5-7728-f25badd52364,BMW,car,330e,2020.0,xDrive Touring,phev,11.5,17.2
