sid,lng_renewable_source,lng_vehicle_class
4999,None,HD
5049,None,HD
21986,NONE,HD
23460,None,HD
23471,None,HD
23473,None,HD
23480,NONE,HD
23482,NONE,HD
23483,None,HD
23491,None,HD
23493,None,HD
23494,NONE,HD
23498,None,HD
23500,None,HD
23501,None,HD
23502,NONE,HD
23509,None,HD
27980,NONE,HD
32051,NONE,HD
33137,None,HD
33138,None,HD
34319,NONE,HD
34479,NONE,HD
35074,NONE,HD
36569,None,HD
36571,None,HD
38488,NONE,HD
40841,NONE,HD
41690,None,HD
43622,None,HD
43623,None,HD
43624,None,HD
43626,None,HD
43628,None,HD
43631,None,HD
43634,None,HD
43636,NONE,HD
43637,None,HD
43642,None,HD
43649,None,HD
43657,None,HD
43659,NONE,HD
43660,None,HD
43662,None,HD
43663,None,HD
43664,NONE,HD
43665,NONE,HD
43666,None,HD
43668,None,HD
43672,None,HD
43673,NONE,HD
43674,NONE,HD
43676,NONE,HD
43677,NONE,HD
43680,NONE,HD
43682,NONE,HD
43683,None,HD
43684,None,HD
43693,None,HD
43694,None,HD
43695,None,HD
43696,None,HD
43698,None,HD
43704,NONE,HD
43706,None,HD
43709,None,HD
43710,None,HD
43714,None,HD
43716,NONE,HD
43717,None,HD
43718,NONE,HD
43719,None,HD
43724,NONE,HD
43725,NONE,HD
43727,NONE,HD
44849,None,HD
50244,None,HD
50249,None,HD
50253,None,HD
50255,None,HD
51596,None,HD
51602,NONE,HD
51603,NONE,HD
51606,NONE,HD
60262,None,HD
60268,NONE,HD
60680,NONE,HD
60929,NONE,HD
60949,NONE,HD
60959,NONE,HD
61159,NONE,HD
61370,NONE,HD
61376,None,HD
61739,NONE,HD
62109,None,HD
62774,NONE,HD
63666,None,HD
63667,NONE,HD
63668,None,HD
63669,NONE,HD
63675,None,HD
63677,NONE,HD
65438,None,HD
66684,None,HD
66701,None,HD
66702,None,HD
66703,None,HD
70690,None,HD
71803,None,HD
74886,None,HD
74888,None,HD
74889,None,HD
74890,None,HD
74892,None,HD
74893,None,HD
74894,None,HD
74895,None,HD
74896,None,HD
74897,None,HD
74898,None,HD
74899,None,HD
74900,None,HD
76399,NONE,HD
80476,None,HD
91977,None,HD
96970,None,HD
100379,None,HD
105077,None,HD
124554,None,HD
150762,None,HD
155377,None,HD
187521,None,HD
187522,None,HD
194953,None,HD
236544,None,HD
