sid,lpg_primary,lpg_nozzle_types
13050,0.0,"[""ACME""]"
13298,1.0,"[""ACME""]"
13343,0.0,"[""ACME""]"
13366,0.0,"[""ACME""]"
13367,1.0,"[""ACME""]"
13371,0.0,"[""ACME""]"
13401,1.0,"[""ACME"",""QUICK_CONNECT""]"
13444,1.0,"[""ACME""]"
13472,1.0,"[""ACME""]"
13510,0.0,None
13518,0.0,"[""QUICK_CONNECT""]"
13539,0.0,"[""ACME""]"
13545,0.0,"[""ACME""]"
13553,0.0,"[""ACME"",""QUICK_CONNECT""]"
13556,0.0,"[""ACME""]"
13597,1.0,"[""ACME"",""QUICK_CONNECT""]"
13602,0.0,"[""ACME"",""QUICK_CONNECT""]"
13603,0.0,"[""ACME""]"
13618,1.0,"[""ACME"",""QUICK_CONNECT""]"
13634,1.0,"[""ACME""]"
13636,0.0,"[""ACME""]"
13655,0.0,"[""ACME""]"
13712,None,None
13723,1.0,"[""ACME""]"
13725,0.0,"[""ACME""]"
13726,1.0,"[""ACME""]"
13727,1.0,"[""QUICK_CONNECT""]"
13748,1.0,"[""QUICK_CONNECT""]"
13775,0.0,"[""ACME""]"
13782,0.0,"[""ACME"",""QUICK_CONNECT""]"
13789,0.0,"[""ACME"",""QUICK_CONNECT""]"
13791,1.0,"[""QUICK_CONNECT""]"
13792,0.0,"[""ACME"",""QUICK_CONNECT""]"
13798,1.0,"[""ACME"",""QUICK_CONNECT""]"
13801,0.0,"[""ACME""]"
13813,0.0,"[""ACME"",""QUICK_CONNECT""]"
13818,0.0,None
13822,1.0,None
13834,0.0,"[""ACME""]"
13839,1.0,"[""ACME""]"
13845,0.0,"[""ACME""]"
13847,1.0,"[""ACME""]"
13859,1.0,"[""ACME""]"
13887,0.0,"[""ACME""]"
13891,1.0,"[""ACME""]"
13892,1.0,"[""ACME""]"
13900,0.0,"[""ACME""]"
13917,0.0,"[""ACME""]"
13950,1.0,"[""ACME"",""QUICK_CONNECT""]"
13953,1.0,"[""ACME""]"
13981,0.0,"[""ACME""]"
13985,0.0,"[""ACME""]"
13988,0.0,None
13989,1.0,"[""ACME""]"
13992,0.0,"[""ACME""]"
14006,0.0,"[""ACME""]"
14010,0.0,"[""ACME""]"
14017,0.0,"[""ACME""]"
14022,0.0,"[""ACME""]"
14041,1.0,None
14056,0.0,"[""ACME""]"
14065,0.0,"[""ACME""]"
14072,0.0,"[""ACME""]"
14073,0.0,"[""ACME""]"
14078,0.0,"[""ACME""]"
14083,1.0,"[""ACME""]"
14084,0.0,"[""ACME""]"
14091,1.0,"[""ACME""]"
14096,0.0,"[""ACME""]"
14100,1.0,"[""ACME""]"
14105,1.0,"[""ACME""]"
14133,0.0,"[""ACME""]"
14137,0.0,"[""ACME""]"
14148,None,None
14158,0.0,"[""ACME""]"
14160,0.0,"[""ACME""]"
14183,0.0,"[""ACME""]"
14185,0.0,"[""ACME""]"
14186,0.0,"[""ACME""]"
14208,0.0,None
14225,0.0,"[""ACME""]"
14226,0.0,"[""ACME"",""QUICK_CONNECT""]"
14232,0.0,"[""ACME""]"
14236,0.0,"[""ACME""]"
14243,0.0,"[""ACME""]"
14244,0.0,None
14248,0.0,"[""ACME""]"
14249,0.0,"[""ACME""]"
14270,0.0,"[""ACME""]"
14273,1.0,"[""ACME""]"
14278,0.0,"[""ACME""]"
14286,0.0,"[""ACME""]"
14303,0.0,"[""ACME""]"
14326,0.0,"[""ACME""]"
14340,0.0,"[""ACME""]"
14365,1.0,"[""ACME""]"
14369,1.0,"[""ACME""]"
14375,0.0,"[""ACME""]"
14376,1.0,"[""ACME""]"
14387,0.0,"[""ACME"",""QUICK_CONNECT""]"
14389,0.0,"[""ACME""]"
14392,0.0,"[""ACME""]"
14399,0.0,"[""ACME""]"
14402,0.0,"[""ACME""]"
14407,1.0,"[""ACME""]"
14409,1.0,None
14410,0.0,"[""ACME""]"
14411,0.0,"[""ACME""]"
14416,1.0,"[""ACME""]"
14419,1.0,"[""ACME""]"
14421,1.0,"[""ACME""]"
14424,1.0,"[""ACME""]"
14426,0.0,"[""ACME""]"
14427,1.0,"[""ACME""]"
14432,0.0,"[""ACME""]"
14439,0.0,"[""ACME""]"
14458,1.0,"[""ACME""]"
14462,1.0,"[""ACME""]"
14466,0.0,"[""ACME""]"
14472,1.0,"[""ACME""]"
14482,0.0,None
14486,1.0,"[""ACME""]"
14489,0.0,"[""ACME""]"
14512,0.0,None
14525,0.0,"[""ACME""]"
14533,1.0,"[""ACME""]"
14551,1.0,"[""ACME""]"
14554,1.0,"[""ACME""]"
14557,0.0,"[""ACME""]"
14558,0.0,"[""ACME""]"
14567,0.0,None
14592,0.0,"[""ACME""]"
14593,0.0,None
14599,0.0,"[""ACME""]"
14608,0.0,"[""ACME""]"
14611,0.0,"[""ACME""]"
14612,0.0,"[""ACME"",""QUICK_CONNECT""]"
14614,0.0,"[""ACME""]"
14629,0.0,"[""ACME""]"
14672,1.0,None
14679,1.0,"[""ACME""]"
14687,1.0,"[""ACME""]"
14696,1.0,"[""ACME""]"
14697,1.0,"[""ACME""]"
14744,0.0,"[""ACME""]"
14747,1.0,"[""ACME""]"
14755,0.0,"[""ACME""]"
14765,0.0,"[""ACME""]"
14777,1.0,"[""ACME""]"
14779,0.0,None
14780,1.0,"[""ACME""]"
14810,0.0,"[""ACME""]"
14822,0.0,"[""ACME""]"
14842,1.0,"[""ACME""]"
14846,1.0,"[""ACME""]"
14860,0.0,"[""ACME""]"
14862,0.0,None
14863,1.0,"[""ACME"",""QUICK_CONNECT""]"
14869,0.0,"[""ACME""]"
14889,1.0,"[""ACME""]"
14912,1.0,"[""QUICK_CONNECT""]"
14927,0.0,"[""ACME""]"
14932,1.0,"[""ACME"",""QUICK_CONNECT""]"
14937,1.0,"[""ACME"",""QUICK_CONNECT""]"
14942,1.0,"[""ACME""]"
14959,0.0,"[""ACME""]"
14970,0.0,"[""ACME"",""QUICK_CONNECT""]"
14980,0.0,"[""ACME"",""QUICK_CONNECT""]"
14985,1.0,"[""ACME"",""QUICK_CONNECT""]"
15021,0.0,"[""ACME""]"
15024,0.0,None
15038,0.0,"[""ACME"",""QUICK_CONNECT""]"
15059,1.0,"[""ACME""]"
15079,1.0,"[""ACME""]"
15084,1.0,"[""ACME""]"
15086,1.0,"[""ACME""]"
15095,0.0,"[""ACME""]"
15106,1.0,"[""ACME""]"
15116,1.0,"[""ACME""]"
15120,0.0,"[""ACME""]"
15130,0.0,"[""ACME""]"
15133,0.0,None
15134,1.0,"[""QUICK_CONNECT""]"
15139,0.0,"[""ACME""]"
15163,0.0,"[""ACME""]"
15185,0.0,"[""ACME""]"
15212,1.0,"[""QUICK_CONNECT""]"
15244,0.0,"[""ACME""]"
15287,0.0,"[""ACME""]"
15305,1.0,"[""ACME""]"
15330,1.0,"[""ACME""]"
15337,0.0,"[""ACME""]"
15350,0.0,"[""ACME""]"
15351,1.0,"[""ACME""]"
15375,0.0,"[""ACME""]"
15382,0.0,"[""ACME""]"
15386,0.0,"[""ACME""]"
15393,0.0,"[""ACME""]"
15402,1.0,"[""ACME"",""QUICK_CONNECT""]"
15435,1.0,"[""ACME""]"
15436,1.0,"[""ACME""]"
15437,0.0,"[""ACME""]"
15445,1.0,"[""ACME""]"
15480,0.0,"[""ACME""]"
15491,0.0,"[""ACME""]"
15498,1.0,"[""ACME""]"
15502,1.0,"[""ACME""]"
15503,1.0,"[""ACME""]"
15509,0.0,"[""ACME""]"
15513,1.0,"[""ACME"",""QUICK_CONNECT""]"
15553,1.0,"[""ACME""]"
15569,1.0,"[""ACME""]"
15576,0.0,"[""ACME""]"
15581,0.0,"[""ACME""]"
15598,0.0,"[""ACME""]"
15619,1.0,"[""ACME""]"
15657,1.0,"[""ACME""]"
15661,0.0,"[""ACME""]"
15672,0.0,"[""ACME""]"
15682,0.0,"[""ACME""]"
15686,0.0,"[""ACME""]"
15707,0.0,"[""ACME""]"
15711,0.0,"[""ACME""]"
15714,0.0,"[""ACME""]"
15717,1.0,"[""ACME""]"
15759,0.0,"[""ACME""]"
15766,0.0,"[""ACME""]"
15807,1.0,"[""ACME""]"
15810,0.0,"[""ACME""]"
15811,0.0,"[""ACME""]"
15819,1.0,"[""ACME""]"
15830,1.0,"[""ACME""]"
15855,0.0,"[""ACME""]"
15858,0.0,None
15859,1.0,"[""ACME""]"
15864,1.0,"[""ACME""]"
15866,0.0,"[""ACME""]"
15874,1.0,"[""ACME""]"
15878,0.0,None
15887,0.0,"[""ACME""]"
15889,1.0,"[""ACME""]"
15892,0.0,"[""ACME""]"
15902,0.0,"[""ACME""]"
15904,1.0,"[""ACME""]"
15911,0.0,"[""ACME"",""QUICK_CONNECT""]"
15967,0.0,None
15979,0.0,"[""ACME""]"
15997,0.0,"[""ACME""]"
16008,0.0,"[""QUICK_CONNECT""]"
16012,0.0,"[""ACME""]"
16048,1.0,"[""ACME""]"
16051,1.0,"[""ACME""]"
17458,0.0,"[""ACME""]"
17461,1.0,"[""ACME""]"
17480,0.0,"[""ACME""]"
17491,0.0,"[""ACME""]"
17537,0.0,"[""ACME""]"
17539,0.0,"[""ACME""]"
17541,0.0,"[""ACME""]"
17565,0.0,"[""ACME""]"
17587,0.0,"[""ACME""]"
17598,0.0,"[""ACME""]"
17607,0.0,"[""ACME""]"
17635,1.0,"[""ACME"",""QUICK_CONNECT""]"
17636,1.0,"[""ACME""]"
17639,0.0,"[""ACME""]"
17654,0.0,"[""ACME""]"
17659,0.0,"[""ACME""]"
17668,0.0,"[""ACME""]"
17799,0.0,"[""ACME""]"
17899,0.0,"[""ACME""]"
17915,0.0,"[""ACME"",""QUICK_CONNECT""]"
18075,0.0,None
18077,0.0,"[""ACME""]"
18084,0.0,"[""ACME""]"
18090,0.0,"[""ACME""]"
18107,0.0,"[""ACME""]"
18189,0.0,"[""ACME""]"
18214,0.0,"[""ACME""]"
18471,0.0,"[""ACME""]"
18472,1.0,"[""ACME""]"
18485,1.0,"[""ACME""]"
18513,0.0,"[""ACME""]"
18528,0.0,"[""ACME""]"
18533,0.0,"[""ACME""]"
18537,0.0,"[""ACME""]"
18573,0.0,"[""ACME""]"
18614,0.0,"[""ACME""]"
18726,0.0,"[""ACME""]"
18784,0.0,"[""ACME""]"
18827,0.0,"[""ACME""]"
18828,0.0,"[""ACME""]"
18834,None,None
18861,1.0,None
19114,1.0,"[""ACME"",""QUICK_CONNECT""]"
19126,0.0,"[""ACME""]"
19127,0.0,"[""ACME""]"
19154,1.0,"[""ACME""]"
19158,1.0,"[""ACME"",""QUICK_CONNECT""]"
19160,1.0,"[""ACME"",""QUICK_CONNECT""]"
19161,0.0,"[""ACME"",""QUICK_CONNECT""]"
19163,0.0,"[""ACME"",""QUICK_CONNECT""]"
19168,1.0,"[""ACME"",""QUICK_CONNECT""]"
19171,1.0,"[""ACME"",""QUICK_CONNECT""]"
19173,1.0,"[""ACME"",""QUICK_CONNECT""]"
19174,0.0,"[""ACME"",""QUICK_CONNECT""]"
