sid,rd_blends,rd_blended_with_biodiesel,rd_max_biodiesel_level
237258,RD99,N,None
237259,RD99,N,None
237260,RD99,N,None
237261,RD99,N,None
237262,RD99,N,None
237263,RD99,N,None
237264,RD99,N,None
237265,RD99,N,None
237266,RD99,N,None
237267,RD99,N,None
237268,RD99,N,None
237269,RD99,N,None
237270,RD99,N,None
237271,RD99,N,None
237272,RD99,N,None
237273,RD99,N,None
237274,RD99,N,None
237275,RD99,N,None
237276,RD99,N,None
237277,RD99,N,None
237278,RD99,N,None
237279,RD99,N,None
237280,RD99,N,None
237281,RD99,N,None
237282,RD99,N,None
237283,RD99,N,None
237284,RD99,N,None
237285,RD99,N,None
237286,RD99,N,None
237287,RD99,N,None
237288,RD100,N,None
237289,RD100,N,None
237290,RD99,N,None
237292,RD99,N,None
237293,RD99,N,None
237294,RD95,Y,5.0
237295,RD80,Y,20.0
238010,RD80,Y,20.0
238011,RD80,Y,20.0
240192,RD95,Y,5.0
240193,RD95,Y,5.0
240194,RD95,Y,5.0
240195,RD95,Y,5.0
240196,RD95,Y,5.0
240197,RD95,Y,5.0
240198,RD95,Y,5.0
240199,RD95,Y,5.0
240200,RD95,Y,5.0
240201,RD95,Y,5.0
240202,RD95,Y,5.0
240203,RD95,Y,5.0
240204,RD95,Y,5.0
240205,RD95,Y,5.0
240206,RD95,Y,5.0
240207,RD95,Y,5.0
240208,RD95,Y,5.0
240209,RD95,Y,5.0
240210,RD95,Y,5.0
240211,RD95,Y,5.0
240212,RD95,Y,5.0
240213,RD95,Y,5.0
240214,RD95,Y,5.0
240215,RD95,Y,5.0
240216,RD95,Y,5.0
240217,RD95,Y,5.0
240218,RD95,Y,5.0
240219,RD95,Y,5.0
240220,RD95,Y,5.0
240221,RD95,Y,5.0
240222,RD95,Y,5.0
240223,RD95,Y,5.0
240224,RD95,Y,5.0
240225,RD95,Y,5.0
240226,RD95,Y,5.0
240227,RD95,Y,5.0
240228,RD95,Y,5.0
240229,RD95,Y,5.0
240230,RD95,Y,5.0
240231,RD95,Y,5.0
240232,RD95,Y,5.0
240233,RD95,Y,5.0
240234,RD95,Y,5.0
240235,RD95,Y,5.0
240236,RD95,Y,5.0
240237,RD95,Y,5.0
