sid,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class
17,,B,3600,,,,MD
45,,Q,3000,,30.0,,LD
64,,B,3600,,,,HD
73,1.0,Q,3600,,250.0,57855.0,MD
81,4.0,Q,3000 3600,NONE,850.0,,MD
84,1.0,Q,3000 3600,,425.0,,HD
108,1.0,Q,3000 3600,,1200.0,,HD
112,1.0,B,3000 3600,,525.0,,MD
124,1.0,Q,3600,,300.0,,MD
125,1.0,Q,3600,,300.0,,MD
129,1.0,Q,3000,,300.0,,MD
130,1.0,Q,3600,,60.0,,MD
132,1.0,Q,3000,,300.0,,MD
147,1.0,Q,3600,,720.0,34500.0,MD
215,1.0,Q,3000 3600,,270.0,,MD
248,2.0,Q,3600,,120.0,,HD
296,2.0,Q,3600,NONE,112.0,,HD
360,1.0,Q,3000 3600,NONE,300.0,,HD
372,1.0,Q,3600,,,52000.0,HD
408,,Q,3600,,70.0,,LD
413,,Q,3000,,25.0,,LD
415,,Q,3000,,25.0,,LD
416,,Q,3000,,25.0,,LD
418,,Q,3600,,1000.0,,HD
434,2.0,Q,3600,,,30000.0,HD
448,1.0,Q,3000 3600,,200.0,,MD
453,1.0,Q,3600,NONE,200.0,,MD
456,1.0,Q,3600,NONE,615.0,,HD
477,2.0,Q,3000 3600,NONE,100.0,,HD
523,,Q,3000,,30.0,,HD
528,3.0,Q,3000 3600,NONE,700.0,,HD
548,1.0,Q,3600,NONE,25.0,,HD
558,1.0,Q,3600,NONE,150.0,,HD
569,1.0,Q,3000,NONE,150.0,,HD
597,,B,3600,,,,MD
606,,Q,3600,,182.0,,HD
622,2.0,Q,3600,,634.0,,MD
633,1.0,Q,3600,NONE,58.0,,MD
648,1.0,Q,3000 3600,NONE,600.0,,HD
703,2.0,Q,3000 3600,,440.0,,MD
716,,B,3000 3600,,25.0,,MD
717,,B,3000 3600,,25.0,,MD
718,1.0,B,3600,,70.0,5000.0,MD
719,2.0,Q,3600,,100.0,32000.0,HD
735,,T,3000,,50.0,,MD
737,,Q,3000 3600,,500.0,,MD
739,,B,3600,,250.0,33000.0,MD
740,1.0,B,3600,,350.0,66000.0,MD
743,1.0,Q,3600,,100.0,33000.0,MD
748,1.0,B,3600,,100.0,33000.0,MD
750,,B,3000,,50.0,,MD
752,1.0,Q,3600,,222.0,55000.0,MD
755,1.0,B,3600,,400.0,66000.0,MD
756,,B,3000,,150.0,,MD
763,,B,3000,,50.0,,MD
765,1.0,B,3600,,200.0,33000.0,MD
767,1.0,B,3600,,100.0,33000.0,MD
768,1.0,B,3600,,300.0,66000.0,MD
787,1.0,B,3000 3600,NONE,78.0,,MD
792,1.0,Q,3000 3600,NONE,30.0,,HD
797,2.0,Q,3000 3600,,270.0,,HD
798,1.0,Q,3000 3600,NONE,30.0,,LD
801,1.0,B,3000 3600,NONE,400.0,,HD
806,1.0,B,3000 3600,NONE,120.0,,HD
809,1.0,B,3000 3600,NONE,75.0,,MD
810,1.0,B,3000 3600,NONE,150.0,,MD
813,1.0,B,3000 3600,NONE,240.0,,MD
816,1.0,B,3000 3600,NONE,116.0,,MD
818,1.0,Q,3000 3600,NONE,300.0,,HD
826,1.0,B,3000 3600,NONE,50.0,,MD
828,1.0,Q,3000 3600,NONE,300.0,,MD
829,1.0,B,3000 3600,NONE,60.0,,LD
832,1.0,B,3000 3600,NONE,120.0,,HD
835,1.0,B,3000 3600,NONE,90.0,,MD
836,1.0,Q,3000 3600,NONE,240.0,,MD
839,4.0,Q,3600,,,0.0,HD
842,1.0,Q,3000 3600,NONE,200.0,,HD
844,,T,3600,,100.0,,HD
