id,brand,vehicle_type,model,release_year,variant,type,ac_port,dc_port,usable_battery_size,energy_consumption
1,Aiways,car,U5,2021.0,,bev,type2,ccs,63.0,18.8
2,Aiways,car,U5,2020.0,,bev,type2,ccs,63.0,18.8
3,Artega,car,Karo,2020.0,Range Plus,bev,type2,,14.4,7.2
4,Artega,car,Karo,2020.0,Range,bev,type2,,8.0,6.4
5,Audi,car,Q4 Sportback e-tron,2021.0,35,bev,type2,ccs,52.0,176.0
6,Audi,car,Q4 Sportback e-tron,2021.0,50 quattro ,bev,type2,ccs,77.0,190.0
7,Audi,car,Q4 e-tron,2021.0,50 quattro,bev,type2,ccs,77.0,197.0
8,Audi,car,Q4 e-tron,2021.0,35,bev,type2,ccs,52.0,182.0
9,Audi,car,Q4 e-tron,2021.0,,bev,type2,ccs,77.0,188.0
10,Audi,car,e-tron 50,2019.0,,bev,type2,ccs,65.0,22.7
11,Audi,car,e-tron S,2020.0,,bev,type2,ccs,95.0,27.0
12,Audi,car,e-tron 55,2019.0,,bev,type2,ccs,86.5,23.4
13,Audi,car,e-tron 55,2019.0,22kW-AC,bev,type2,ccs,86.5,23.4
14,Audi,car,e-tron 50,2019.0,22kW-AC,bev,type2,ccs,65.0,22.7
15,Audi,car,A3 Sportback 40 e-tron,2020.0,,phev,type2,,8.8,12.4
16,Audi,car,e-tron S,2020.0,Sportback,bev,type2,ccs,86.5,27.0
17,Audi,car,A6,2020.0,50 TFSI e,phev,type2,,14.1,17.0
18,Audi,car,A6,2020.0,55 TFSI e,phev,type2,,14.1,17.0
19,Audi,car,A7 55TFSI E,2019.0,Sportback e quattro,phev,type2,,14.1,14.1
20,Audi,car,Q5 55 TFSI,2019.0,e Quattro,phev,type2,,14.1,17.0
21,Audi,car,Q7 e-tron,2020.0,,phev,type2,,17.3,17.0
22,BMW,car,i3S,2020.0,120 Ah,bev,type2,ccs,37.9,16.2
23,BMW,car,i3,2020.0,120 Ah,bev,type2,ccs,37.9,15.4
24,BMW,car,X5,2020.0,xDrive25e,phev,type2,,22.2,29.1
25,BMW,car,X3,2020.0,xDrive25e,phev,type2,,11.15,28.4
26,BMW,car,X2,2020.0,xDrive25e,phev,type2,,8.8,19.1
27,BMW,car,X1,2020.0,xDrive25e,phev,type2,,8.8,19.7
28,BMW,car,745Le,2020.0,xDrive,phev,type2,,11.15,25.6
29,BMW,car,745Le,2020.0,,phev,type2,,11.15,23.3
30,BMW,car,740 E,2016.0,,phev,type2,,7.4,17.0
31,BMW,car,545,2020.0,xDrive Berline,phev,type2,,11.15,17.2
32,BMW,car,530e,2020.0,xDrive Touring,phev,type2,,11.15,18.5
33,BMW,car,530e,2020.0,Touring,phev,type2,,11.15,17.0
34,BMW,car,530e,2020.0,xDrive Berline,phev,type2,,11.15,17.4
35,BMW,car,530e,2020.0,Berline,phev,type2,,11.15,16.3
36,BMW,car,330e,2020.0,xDrive Touring,phev,type2,,11.5,17.2
37,BMW,car,330e,2020.0,Touring,phev,type2,,11.15,16.2
38,BMW,car,330e,2020.0,xDrive Berline,phev,type2,,11.15,16.5
39,BMW,car,330e,2020.0,berline,phev,type2,,11.5,16.5
40,BMW,car,330e,2016.0,,phev,type2,,12.0,17.0
