sid,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class
17,None,B,3600,None,None,None,MD
45,None,Q,3000,None,30.0,None,LD
64,None,B,3600,None,None,None,HD
73,1.0,Q,3600,None,250.0,57855.0,MD
81,4.0,Q,3000 3600,NONE,850.0,None,MD
84,1.0,Q,3000 3600,None,425.0,None,HD
108,1.0,Q,3000 3600,None,1200.0,None,HD
112,1.0,B,3000 3600,None,525.0,None,MD
124,1.0,Q,3600,None,300.0,None,MD
125,1.0,Q,3600,None,300.0,None,MD
129,1.0,Q,3000,None,300.0,None,MD
130,1.0,Q,3600,None,60.0,None,MD
132,1.0,Q,3000,None,300.0,None,MD
147,1.0,Q,3600,None,720.0,34500.0,MD
215,1.0,Q,3000 3600,None,270.0,None,MD
248,2.0,Q,3600,None,120.0,None,HD
296,2.0,Q,3600,NONE,112.0,None,HD
360,1.0,Q,3000 3600,NONE,300.0,None,HD
372,1.0,Q,3600,None,None,52000.0,HD
408,None,Q,3600,None,70.0,None,LD
413,None,Q,3000,None,25.0,None,LD
415,None,Q,3000,None,25.0,None,LD
416,None,Q,3000,None,25.0,None,LD
418,None,Q,3600,None,1000.0,None,HD
434,2.0,Q,3600,None,None,30000.0,HD
448,1.0,Q,3000 3600,None,200.0,None,MD
453,1.0,Q,3600,NONE,200.0,None,MD
456,1.0,Q,3600,NONE,615.0,None,HD
477,2.0,Q,3000 3600,NONE,100.0,None,HD
523,None,Q,3000,None,30.0,None,HD
528,3.0,Q,3000 3600,NONE,700.0,None,HD
548,1.0,Q,3600,NONE,25.0,None,HD
558,1.0,Q,3600,NONE,150.0,None,HD
569,1.0,Q,3000,NONE,150.0,None,HD
597,None,B,3600,None,None,None,MD
606,None,Q,3600,None,182.0,None,HD
622,2.0,Q,3600,None,634.0,None,MD
633,1.0,Q,3600,NONE,58.0,None,MD
648,1.0,Q,3000 3600,NONE,600.0,None,HD
703,2.0,Q,3000 3600,None,440.0,None,MD
716,None,B,3000 3600,None,25.0,None,MD
717,None,B,3000 3600,None,25.0,None,MD
718,1.0,B,3600,None,70.0,5000.0,MD
719,2.0,Q,3600,None,100.0,32000.0,HD
735,None,T,3000,None,50.0,None,MD
737,None,Q,3000 3600,None,500.0,None,MD
739,None,B,3600,None,250.0,33000.0,MD
740,1.0,B,3600,None,350.0,66000.0,MD
743,1.0,Q,3600,None,100.0,33000.0,MD
748,1.0,B,3600,None,100.0,33000.0,MD
750,None,B,3000,None,50.0,None,MD
752,1.0,Q,3600,None,222.0,55000.0,MD
755,1.0,B,3600,None,400.0,66000.0,MD
756,None,B,3000,None,150.0,None,MD
763,None,B,3000,None,50.0,None,MD
765,1.0,B,3600,None,200.0,33000.0,MD
767,1.0,B,3600,None,100.0,33000.0,MD
768,1.0,B,3600,None,300.0,66000.0,MD
787,1.0,B,3000 3600,NONE,78.0,None,MD
792,1.0,Q,3000 3600,NONE,30.0,None,HD
797,2.0,Q,3000 3600,None,270.0,None,HD
798,1.0,Q,3000 3600,NONE,30.0,None,LD
801,1.0,B,3000 3600,NONE,400.0,None,HD
806,1.0,B,3000 3600,NONE,120.0,None,HD
809,1.0,B,3000 3600,NONE,75.0,None,MD
810,1.0,B,3000 3600,NONE,150.0,None,MD
813,1.0,B,3000 3600,NONE,240.0,None,MD
816,1.0,B,3000 3600,NONE,116.0,None,MD
818,1.0,Q,3000 3600,NONE,300.0,None,HD
826,1.0,B,3000 3600,NONE,50.0,None,MD
828,1.0,Q,3000 3600,NONE,300.0,None,MD
829,1.0,B,3000 3600,NONE,60.0,None,LD
832,1.0,B,3000 3600,NONE,120.0,None,HD
835,1.0,B,3000 3600,NONE,90.0,None,MD
836,1.0,Q,3000 3600,NONE,240.0,None,MD
839,4.0,Q,3600,None,None,0.0,HD
842,1.0,Q,3000 3600,NONE,200.0,None,HD
844,None,T,3600,None,100.0,None,HD
864,2.0,Q,3000 3600,None,25.0,None,HD
868,None,Q,3000,None,50.0,None,MD
873,None,Q,3000,None,50.0,None,MD
897,2.0,Q,3600,NONE,25.0,None,HD
939,1.0,B,3000,None,50.0,None,HD
941,4.0,Q,3600,None,5376.0,33600.0,HD
942,1.0,Q,3600,NONE,700.0,35165.0,LD
944,2.0,Q,3600,None,900.0,None,MD
945,2.0,B,3000 3600,None,50.0,30000.0,HD
951,2.0,Q,3600,NONE,1000.0,40493.0,LD
953,5.0,Q,3600,None,3400.0,50400.0,HD
982,1.0,Q,3000 3600,None,None,None,HD
990,None,Q,3000 3600,None,None,None,HD
995,1.0,Q,3000 3600,NONE,150.0,None,HD
997,2.0,Q,3000 3600,NONE,None,None,HD
1000,2.0,Q,3600,NONE,1050.0,87647.0,HD
1002,1.0,Q,3600,NONE,1000.0,43823.0,MD
1005,None,Q,3000 3600,None,None,None,HD
1006,1.0,Q,3600,NONE,650.0,63937.0,HD
1009,4.0,Q,3000 3600,None,100.0,3200.0,HD
1010,None,Q,3000 3600,None,None,None,HD
1014,1.0,Q,3000 3600,NONE,1300.0,107600.0,HD
1016,2.0,Q,3600,NONE,650.0,87647.0,MD
1017,1.0,Q,3600,NONE,650.0,87647.0,LD
1022,1.0,Q,3000 3600,NONE,350.0,None,HD
1025,1.0,Q,3600,NONE,650.0,63937.0,MD
1034,None,Q,3600,None,250.0,57855.0,HD
1062,None,B,3600,None,None,None,HD
1070,None,B,3600,None,200.0,None,HD
1079,None,Q,3000,None,2500.0,None,HD
1083,1.0,Q,3000 3600,NONE,300.0,None,HD
1108,1.0,Q,3600,None,185.0,None,HD
1110,2.0,Q,3600,None,850.0,593136.0,HD
1130,2.0,Q,3600,None,1200.0,34000.0,HD
1200,None,Q,3600,None,28.0,None,HD
1201,None,Q,3600,None,28.0,None,HD
1202,None,Q,3600,None,28.0,None,HD
1215,2.0,Q,3600,None,185.0,None,HD
1236,None,Q,3000 3600,None,None,None,HD
1251,5.0,Q,3000 3600,NONE,1200.0,None,MD
1252,None,Q,3000,None,8250.0,None,HD
1253,3.0,Q,3600,None,3600.0,45000.0,HD
1264,1.0,Q,3600,None,100.0,33000.0,MD
1332,None,Q,3600,None,1200.0,None,HD
1347,1.0,Q,3000 3600,NONE,300.0,None,HD
1349,1.0,Q,3000 3600,NONE,160.0,None,HD
1350,2.0,Q,3600,NONE,750.0,None,HD
1352,1.0,Q,3600,NONE,1300.0,66000.0,MD
1353,1.0,Q,3600,NONE,150.0,18781.0,LD
1354,1.0,Q,3000 3600,None,400.0,None,MD
1360,None,Q,3600,None,1300.0,None,HD
1361,2.0,Q,3600,NONE,500.0,87647.0,HD
1368,None,B,3600,None,50.0,None,MD
1370,2.0,Q,3600,NONE,925.0,98000.0,HD
1380,2.0,Q,3000 3600,NONE,150.0,None,MD
1388,1.0,Q,3600,NONE,None,None,LD
1389,None,None,None,None,None,None,HD
7031,None,B,3600,None,None,None,HD
7034,None,Q,3600,None,None,None,HD
7037,2.0,Q,3000 3600,None,500.0,None,HD
7041,4.0,Q,3600,NONE,865.0,None,HD
7045,None,Q,3000,None,58.0,None,MD
7088,None,B,3000 3600,None,25.0,None,MD
7108,1.0,Q,3600,None,250.0,33000.0,MD
7119,1.0,Q,3000 3600,None,50.0,None,HD
12767,2.0,Q,3000 3600,NONE,200.0,None,MD
12781,1.0,B,3600,None,50.0,33000.0,MD
12783,1.0,B,3000,None,25.0,18000.0,MD
12784,2.0,Q,3600,None,200.0,48000.0,MD
12786,1.0,Q,3600,None,100.0,33000.0,MD
12787,None,B,3000,None,25.0,18000.0,MD
12788,None,Q,3600,NONE,None,None,HD
12796,None,Q,3600,None,None,None,HD
12799,2.0,Q,3000 3600,None,196.0,60000.0,HD
12803,None,B,3600,None,116.0,None,HD
12804,3.0,Q,3600,None,1400.0,None,HD
12808,None,Q,3000 3600,None,110.0,None,MD
12809,None,T,3000 3600,None,50.0,None,HD
12810,None,B,3000 3600,NONE,264.0,None,HD
12826,1.0,Q,3000 3600,NONE,1000.0,None,MD
12830,None,B,3000 3600,None,None,None,HD
12832,1.0,Q,3000 3600,None,None,None,MD
12839,1.0,Q,3600,NONE,150.0,63937.0,HD
12840,1.0,Q,3000 3600,None,125.0,None,HD
12841,2.0,Q,3600,NONE,None,None,HD
12842,None,T,3600,None,240.0,None,HD
12843,5.0,Q,3600,None,None,21000.0,HD
18888,4.0,Q,3600,NONE,270.0,None,HD
18892,2.0,Q,3000 3600,None,300.0,37000.0,MD
18893,1.0,Q,3000 3600,None,190.0,37000.0,HD
18898,1.0,Q,3000 3600,None,150.0,None,MD
18900,1.0,Q,3600,None,500.0,None,MD
18914,None,Q,3000 3600,None,None,None,HD
18915,None,Q,3000 3600,None,None,None,HD
18916,None,Q,3600,None,None,None,HD
18926,None,Q,3000 3600,None,530.0,None,HD
18943,2.0,Q,3000 3600,None,196.0,30000.0,HD
20888,1.0,Q,3000 3600,NONE,350.0,None,HD
20905,1.0,Q,3600,None,300.0,37000.0,MD
20908,None,Q,3000,None,25.0,None,HD
20912,None,Q,3000 3600,None,None,None,HD
20916,1.0,B,3600,None,75.0,33000.0,MD
20917,1.0,B,3600,None,100.0,33000.0,MD
20918,1.0,B,3600,None,50.0,33000.0,MD
20920,1.0,B,3600,None,100.0,33000.0,MD
20921,1.0,B,3600,None,125.0,33000.0,MD
20922,1.0,Q,3600,None,100.0,33000.0,MD
20923,2.0,Q,3000 3600,None,400.0,None,HD
20931,None,Q,3000,None,600.0,None,HD
20976,1.0,B,3600,None,300.0,None,MD
21435,None,B,3600,None,200.0,None,LD
21660,4.0,Q,3000 3600,None,400.0,None,HD
21975,1.0,Q,3000 3600,NONE,1500.0,None,HD
21985,2.0,B,3600,NONE,1520.0,200000.0,HD
22718,1.0,B,3600,None,350.0,48000.0,MD
22719,1.0,Q,3600,None,25.0,33000.0,MD
22720,1.0,B,3600,None,250.0,33000.0,MD
23203,1.0,Q,3000 3600,None,800.0,None,HD
23206,2.0,Q,3600,None,760.0,31664.0,HD
23208,None,Q,3000 3600,None,None,None,MD
23211,1.0,Q,3600,NONE,400.0,None,HD
23212,2.0,Q,3600,NONE,400.0,None,HD
23213,2.0,Q,3600,NONE,400.0,None,HD
23215,1.0,Q,3600,None,200.0,30000.0,HD
23219,2.0,Q,3000,NONE,120.0,None,HD
23223,None,T,3600,None,None,None,HD
23236,None,Q,3600,None,None,None,HD
23457,None,Q,3000 3600,None,270.0,66000.0,HD
23459,1.0,Q,3600,NONE,25.0,100.0,MD
24846,None,Q,3600,NONE,None,None,HD
25424,None,Q,3000 3600,None,None,None,HD
25425,2.0,Q,3600,None,None,None,HD
25426,2.0,Q,3600,None,116.0,None,HD
25437,4.0,Q,3000 3600,None,2600.0,150000.0,HD
25483,4.0,Q,3000 3600,NONE,None,None,HD
25597,None,Q,3600,None,1100.0,None,HD
25600,2.0,Q,3600,NONE,700.0,43823.0,HD
25601,1.0,Q,3000 3600,None,410.0,None,HD
25673,1.0,Q,3600,None,116.0,108000.0,HD
25763,1.0,Q,3600,NONE,500.0,43823.0,HD
25766,None,Q,3000,None,None,None,HD
25879,None,Q,3000,None,25.0,18000.0,MD
25880,1.0,B,3600,None,25.0,33000.0,MD
25882,None,Q,3600,None,210.0,66000.0,HD
26305,1.0,Q,3000 3600,NONE,1000.0,None,MD
26306,1.0,Q,3000 3600,NONE,175.0,None,MD
26307,1.0,Q,3000 3600,NONE,60.0,None,MD
26308,1.0,Q,3000 3600,NONE,660.0,None,MD
26310,1.0,Q,3000 3600,NONE,450.0,None,LD
26312,1.0,Q,3000 3600,NONE,700.0,None,LD
26314,2.0,Q,3000 3600,NONE,350.0,None,HD
26554,1.0,Q,3000 3600,NONE,None,None,HD
26654,1.0,Q,3000 3600,NONE,None,None,MD
26655,2.0,Q,3000 3600,NONE,500.0,None,MD
26821,4.0,Q,3000 3600,None,1680.0,134.0,HD
26830,None,Q,None,None,None,None,HD
27026,1.0,Q,3600,NONE,2800.0,None,MD
27301,None,T,3600,None,None,None,MD
27653,1.0,Q,3600,NONE,None,None,MD
27971,0.0,Q,3600,NONE,None,None,HD
27973,1.0,Q,3000 3600,None,600.0,None,HD
27975,1.0,Q,3000 3600,None,2000.0,None,MD
27977,1.0,B,3000 3600,None,1400.0,None,HD
27979,2.0,Q,3600,NONE,None,None,HD
27981,2.0,Q,3000 3600,NONE,None,None,HD
28133,1.0,Q,3600,None,741.0,207598.0,HD
28177,2.0,Q,3000,NONE,None,None,HD
28523,2.0,Q,3600,NONE,None,None,HD
28623,None,Q,3000 3600,None,164.0,None,HD
29168,2.0,Q,3000 3600,NONE,None,None,HD
30355,1.0,Q,3600,None,300.0,37000.0,MD
30618,1.0,Q,3000 3600,NONE,350.0,None,MD
30619,1.0,Q,3600,NONE,700.0,None,HD
30622,1.0,Q,3600,None,1000.0,7380.0,HD
30623,2.0,B,3000 3600,None,1890.0,None,HD
30624,None,Q,3000 3600,None,None,None,HD
30626,2.0,Q,3000 3600,NONE,None,None,HD
30628,1.0,B,3000 3600,NONE,None,None,HD
30629,1.0,Q,3000 3600,NONE,None,None,HD
30630,1.0,Q,3000 3600,NONE,450.0,None,HD
30631,None,Q,3600,None,None,None,HD
30832,1.0,Q,3000 3600,NONE,100.0,None,HD
30833,1.0,Q,3000 3600,NONE,5700.0,None,HD
30836,4.0,B,3600,None,None,12357.0,HD
31316,None,Q,3600,None,560.0,36000.0,HD
31317,None,Q,3600,None,800.0,36000.0,HD
31318,None,Q,3600,None,190.0,36000.0,HD
31839,3.0,Q,3600,None,500.0,400.0,HD
32056,None,B,3600,None,None,None,HD
32059,None,B,3600,None,None,None,HD
32062,None,Q,3000,None,None,None,HD
32154,2.0,Q,3600,None,1000.0,None,HD
32422,2.0,Q,3000 3600,NONE,1600.0,None,MD
32513,2.0,Q,3000 3600,None,1950.0,60000.0,HD
32514,None,Q,3000 3600,None,400.0,None,HD
32572,None,B,3000 3600,None,415.0,None,MD
32669,1.0,Q,3600,NONE,None,None,HD
32670,1.0,B,3600,None,250.0,33000.0,MD
32671,1.0,Q,3600,None,180.0,None,HD
32828,4.0,Q,3600,None,None,None,HD
32831,2.0,Q,3600,None,1300.0,74000.0,HD
32837,None,Q,3000,None,None,None,MD
32838,None,Q,3600,None,6600.0,None,MD
32839,None,Q,3000,None,5400.0,None,HD
32840,3.0,Q,3600,None,4400.0,None,HD
33117,None,B,3600,None,None,None,HD
33144,1.0,Q,3600,None,50.0,44.0,HD
33204,1.0,Q,3600,NONE,None,None,HD
33205,2.0,Q,3000,NONE,None,None,HD
33315,None,Q,3000 3600,None,None,None,HD
33316,None,Q,3000 3600,None,None,None,HD
33323,1.0,Q,3000 3600,NONE,None,None,MD
33387,4.0,Q,3600,NONE,610.0,250000.0,HD
33425,4.0,Q,3600,None,370.0,22242.0,HD
33428,2.0,Q,3000 3600,None,None,None,MD
33533,1.0,Q,3000 3600,NONE,900.0,None,HD
33534,None,B,3600,None,None,None,MD
33536,None,Q,3600,None,None,None,MD
33538,None,Q,3000,None,5000.0,None,HD
33650,None,None,None,None,None,None,HD
33716,2.0,Q,3600,NONE,None,None,HD
33898,2.0,Q,3000 3600,NONE,None,None,MD
33899,2.0,Q,3000 3600,NONE,None,None,HD
34206,2.0,Q,3000 3600,None,None,None,HD
34243,None,B,3000 3600,None,None,None,HD
34315,4.0,Q,3600,NONE,700.0,10000.0,HD
34317,None,Q,3600,None,525.0,None,MD
34320,4.0,Q,3600,None,None,None,HD
34364,4.0,Q,3600,None,None,None,MD
34365,2.0,Q,3600,None,None,None,HD
34474,1.0,Q,3600,NONE,1000.0,None,LD
34475,1.0,Q,3000 3600,NONE,726.0,None,HD
34478,2.0,Q,3600,NONE,2600.0,None,HD
34480,None,Q,3600,None,None,None,HD
34831,None,Q,3600,None,None,None,LD
34832,1.0,Q,3600,None,None,None,HD
35055,2.0,Q,3600,None,475.0,None,HD
35056,1.0,Q,3000,NONE,None,None,HD
35058,None,T,3000,None,None,None,LD
35060,None,Q,3600,NONE,None,None,HD
35062,None,B,3600,NONE,None,None,HD
35063,None,Q,3600,NONE,None,None,HD
35064,None,Q,3000 3600,NONE,None,None,HD
35065,None,B,3000,None,None,None,HD
35066,None,Q,3600,None,None,None,HD
35067,2.0,B,3000 3600,None,None,None,MD
35069,2.0,Q,3600,None,None,None,HD
35070,None,Q,3600,None,None,None,HD
35072,None,T,3000,None,None,None,HD
35073,1.0,Q,3600,NONE,None,None,HD
35075,2.0,Q,3600,None,None,None,HD
35077,None,Q,3600,None,None,None,HD
35131,1.0,Q,3000 3600,NONE,None,None,HD
35135,None,Q,3600,None,4000.0,None,HD
35221,None,Q,3600,None,None,None,HD
35222,None,T,3600,None,None,None,HD
35227,None,T,3000,None,None,None,HD
35301,None,Q,3600,None,18.0,None,HD
35304,None,Q,3000 3600,None,None,None,HD
35307,None,None,3000,None,None,None,HD
35309,2.0,Q,3000 3600,None,1000.0,None,HD
35316,2.0,Q,3000 3600,NONE,None,None,MD
35317,2.0,Q,3600,NONE,1200.0,56000.0,HD
35318,1.0,Q,3600,NONE,None,None,MD
35321,None,None,None,None,None,None,HD
35385,2.0,Q,3600,NONE,30.0,None,HD
35418,2.0,Q,3600,None,None,None,HD
35419,4.0,Q,3000 3600,None,None,None,HD
35495,1.0,T,3000,None,None,None,LD
35593,4.0,Q,3600,None,1300.0,None,HD
35597,None,Q,3600,None,None,None,HD
35598,2.0,Q,3600,NONE,308.0,205.0,HD
35656,1.0,Q,3000 3600,NONE,None,None,MD
35685,4.0,Q,3000 3600,NONE,None,None,MD
35699,2.0,Q,3000 3600,None,None,None,HD
35786,1.0,Q,3600,NONE,None,None,MD
35787,2.0,Q,3000 3600,NONE,None,None,HD
35790,None,Q,3600,None,None,None,MD
35791,None,Q,3600,None,None,None,HD
35907,4.0,Q,3000 3600,NONE,None,None,HD
35936,1.0,Q,3000 3600,NONE,None,None,HD
