sid,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network
1517,chademo,3.0,None,39.0,Non-Networked
1517,type1,3.0,None,39.0,Non-Networked
1517,ccs,3.0,None,39.0,Non-Networked
1519,type1,None,None,4.0,Non-Networked
1523,type1,None,None,7.0,Non-Networked
1525,chademo,2.0,None,311.0,Non-Networked
1525,type1,2.0,None,311.0,Non-Networked
1525,ccs,2.0,None,311.0,Non-Networked
1531,chademo,1.0,None,19.0,Non-Networked
1531,type1,1.0,None,19.0,Non-Networked
1531,ccs,1.0,None,19.0,Non-Networked
1552,type1,None,None,10.0,Non-Networked
1556,type1,None,None,2.0,Non-Networked
1572,chademo,1.0,None,46.0,Non-Networked
1572,type1,1.0,None,46.0,Non-Networked
1573,type1,None,None,13.0,Non-Networked
1583,type1,None,None,3.0,Non-Networked
1589,type1,None,None,10.0,Non-Networked
6355,type1,None,None,1.0,Non-Networked
6405,type1,None,None,2.0,Non-Networked
6425,type1,None,None,4.0,Non-Networked
6505,type1,None,None,16.0,Non-Networked
6506,type1,None,None,2.0,Non-Networked
6507,type1,None,None,3.0,Non-Networked
6509,type2,None,None,None,Non-Networked
7172,type1,None,None,1.0,Non-Networked
7184,type1,None,None,20.0,Non-Networked
7192,type1,None,None,5.0,Volta
7194,type1,None,None,1.0,Non-Networked
7195,type1,None,None,1.0,Non-Networked
7196,type1,None,None,2.0,Non-Networked
7197,type1,None,None,2.0,Non-Networked
7206,type1,None,None,3.0,Non-Networked
7212,type1,None,None,4.0,Non-Networked
7229,type1,None,None,2.0,Non-Networked
7230,type1,None,None,3.0,Non-Networked
7233,type1,None,None,2.0,Volta
7242,nema520,None,1.0,None,Non-Networked
7245,type1,None,None,4.0,EV Connect
7250,type1,None,None,4.0,Non-Networked
7280,type1,None,None,1.0,Non-Networked
7286,type1,None,None,4.0,Non-Networked
21351,type2,None,None,None,Non-Networked
21358,type1,None,None,1.0,Non-Networked
21360,type1,None,None,1.0,Non-Networked
21368,type1,None,None,2.0,Non-Networked
21374,type1,None,None,3.0,Non-Networked
21395,type1,None,None,2.0,Non-Networked
21396,type1,None,None,2.0,Non-Networked
21397,type1,None,None,4.0,Non-Networked
21398,type1,None,None,4.0,EV Connect
21402,type1,None,None,4.0,Non-Networked
21414,type1,None,None,4.0,EV Connect
21419,type1,None,12.0,15.0,Non-Networked
21419,nema520,None,12.0,15.0,Non-Networked
21450,type1,None,None,3.0,POWERFLEX
21498,type1,None,None,3.0,Non-Networked
21524,type1,None,None,2.0,Non-Networked
21525,type1,None,None,6.0,Non-Networked
21535,type1,None,None,6.0,Non-Networked
21559,type1,None,None,5.0,Non-Networked
21561,type1,None,None,4.0,Non-Networked
21565,type1,None,4.0,2.0,Non-Networked
21565,nema515,None,4.0,2.0,Non-Networked
21566,type1,None,None,1.0,Non-Networked
21569,type1,None,None,2.0,Non-Networked
