sid,hy_is_retail,hy_pressures,hy_standards,hy_status_link
21796,None,"[""350""]",None,None
27339,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/uc-irvine
30131,1.0,"[""350"",""700""]","[""J2601""]",https://m.cafcp.org/content/torrance-0
30136,None,"[""350""]",None,None
33062,0.0,"[""350"",""700""]","[""J2601""]",None
33477,0.0,"[""350""]","[""J2601""]",None
33581,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/lax
33585,None,"[""350"",""700""]",None,https://cafcp.org/stationmap
35589,0.0,"[""350"",""700""]",None,None
48407,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/emeryville-upgrade
48411,1.0,"[""700""]","[""J2601""]",https://cafcp.org/stationmap
60205,0.0,None,None,None
61099,0.0,"[""350""]",None,None
61950,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/palo-alto
61967,1.0,"[""700""]","[""J2601""]",http://m.cafcp.org/content/anaheim
61968,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/fairfax-la
61969,0.0,"[""350"",""700""]","[""J2601""]",None
61970,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/cal-state-la
61971,1.0,"[""700""]","[""J2601""]",https://cafcp.org/content/cupertino
61972,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/campbell
61973,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/harris-ranch
61974,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/costa-mesa
61975,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/hayward
61976,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/la-canada-flintridge
61977,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/fremont
61978,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/lake-forest
61979,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/long-beach
