sid,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network
1517,3.0,0.0,39.0,Non-Networked
1519,0.0,0.0,4.0,Non-Networked
1523,0.0,0.0,7.0,Non-Networked
1525,2.0,0.0,311.0,Non-Networked
1531,1.0,0.0,19.0,Non-Networked
1552,0.0,0.0,10.0,Non-Networked
1556,0.0,0.0,2.0,Non-Networked
1572,1.0,0.0,46.0,Non-Networked
1573,0.0,0.0,13.0,Non-Networked
1583,0.0,0.0,3.0,Non-Networked
1589,0.0,0.0,10.0,Non-Networked
6355,0.0,0.0,1.0,Non-Networked
6405,0.0,0.0,2.0,Non-Networked
6425,0.0,0.0,4.0,Non-Networked
6505,0.0,0.0,16.0,Non-Networked
6506,0.0,0.0,2.0,Non-Networked
6507,0.0,0.0,3.0,Non-Networked
6509,0.0,0.0,0.0,Non-Networked
7172,0.0,0.0,1.0,Non-Networked
7184,0.0,0.0,20.0,Non-Networked
7192,0.0,0.0,5.0,Volta
7194,0.0,0.0,1.0,Non-Networked
7195,0.0,0.0,1.0,Non-Networked
7196,0.0,0.0,2.0,Non-Networked
7197,0.0,0.0,2.0,Non-Networked
7206,0.0,0.0,3.0,Non-Networked
7212,0.0,0.0,4.0,Non-Networked
7229,0.0,0.0,2.0,Non-Networked
7230,0.0,0.0,3.0,Non-Networked
7233,0.0,0.0,2.0,Volta
7242,0.0,1.0,0.0,Non-Networked
7245,0.0,0.0,4.0,EV Connect
7250,0.0,0.0,4.0,Non-Networked
7280,0.0,0.0,1.0,Non-Networked
7286,0.0,0.0,4.0,Non-Networked
21351,0.0,0.0,0.0,Non-Networked
21358,0.0,0.0,1.0,Non-Networked
21360,0.0,0.0,1.0,Non-Networked
21368,0.0,0.0,2.0,Non-Networked
21374,0.0,0.0,3.0,Non-Networked
21395,0.0,0.0,2.0,Non-Networked
21396,0.0,0.0,2.0,Non-Networked
21397,0.0,0.0,4.0,Non-Networked
21398,0.0,0.0,4.0,EV Connect
21402,0.0,0.0,4.0,Non-Networked
21414,0.0,0.0,4.0,EV Connect
21419,0.0,12.0,15.0,Non-Networked
21450,0.0,0.0,3.0,POWERFLEX
