state,registration_count
AL, 4750 
AK, 1290 
AZ, 40740 
AR, 2390 
CA, 563070 
CO, 37000 
CT, 13350 
DE, 3010 
DC, 3700 
FL, 95640 
GA, 34020 
HI, 14220 
ID, 3500 
IL, 36520 
IN, 10360 
IA, 3660 
KS, 4500 
KY, 4220 
LA, 3180 
ME, 3040 
MD, 25630 
MA, 30470 
MI, 17460 
MN, 15000 
MS, 1310 
MO, 10050 
MT, 1650 
NE, 2710 
NV, 17380 
NH, 4000 
NJ, 47830 
NM, 4150 
NY, 51870 
NC, 25190 
ND, 380 
OH, 21200 
OK, 7080 
OR, 30290 
PA, 26770 
RI, 2550 
SC, 7440 
SD, 680 
TN, 12160 
TX, 80900 
UT, 16480 
VT, 3370 
VA, 30660 
WA, 66810 
WV, 1010 
WI, 9330 
WY, 510 
