sid,lng_renewable_source,lng_vehicle_class
4999,,HD
5049,,HD
21986,NONE,HD
23460,,HD
23471,,HD
23473,,HD
23480,NONE,HD
23482,NONE,HD
23483,,HD
23491,,HD
23493,,HD
23494,NONE,HD
23498,,HD
23500,,HD
23501,,HD
23502,NONE,HD
23509,,HD
27980,NONE,HD
32051,NONE,HD
33137,,HD
33138,,HD
34319,NONE,HD
34479,NONE,HD
35074,NONE,HD
36569,,HD
36571,,HD
38488,NONE,HD
40841,NONE,HD
41690,,HD
43622,,HD
43623,,HD
43624,,HD
43626,,HD
43628,,HD
43631,,HD
43634,,HD
43636,NONE,HD
43637,,HD
43642,,HD
43649,,HD
43657,,HD
43659,NONE,HD
43660,,HD
43662,,HD
43663,,HD
43664,NONE,HD
43665,NONE,HD
43666,,HD
43668,,HD
43672,,HD
43673,NONE,HD
43674,NONE,HD
43676,NONE,HD
43677,NONE,HD
43680,NONE,HD
43682,NONE,HD
43683,,HD
43684,,HD
43693,,HD
43694,,HD
43695,,HD
43696,,HD
43698,,HD
43704,NONE,HD
43706,,HD
43709,,HD
43710,,HD
43714,,HD
43716,NONE,HD
43717,,HD
43718,NONE,HD
43719,,HD
43724,NONE,HD
43725,NONE,HD
43727,NONE,HD
44849,,HD
50244,,HD
50249,,HD
50253,,HD
50255,,HD
51596,,HD
51602,NONE,HD
51603,NONE,HD
51606,NONE,HD
60262,,HD
60268,NONE,HD
60680,NONE,HD
60929,NONE,HD
60949,NONE,HD
60959,NONE,HD
61159,NONE,HD
61370,NONE,HD
61376,,HD
61739,NONE,HD
62109,,HD
62774,NONE,HD
63666,,HD
63667,NONE,HD
63668,,HD
63669,NONE,HD
63675,,HD
63677,NONE,HD
65438,,HD
66684,,HD
66701,,HD
66702,,HD
66703,,HD
70690,,HD
71803,,HD
74886,,HD
74888,,HD
74889,,HD
74890,,HD
74892,,HD
74893,,HD
74894,,HD
74895,,HD
74896,,HD
74897,,HD
74898,,HD
74899,,HD
74900,,HD
76399,NONE,HD
80476,,HD
91977,,HD
96970,,HD
100379,,HD
105077,,HD
124554,,HD
150762,,HD
155377,,HD
187521,,HD
187522,,HD
194953,,HD
236544,,HD
