sid,port
1517,chademo
1517,type1
1517,ccs
1519,type1
1523,type1
1525,chademo
1525,type1
1525,ccs
1531,chademo
1531,type1
1531,ccs
1552,type1
1556,type1
1572,chademo
1572,type1
1573,type1
1583,type1
1589,type1
6355,type1
6405,type1
6425,type1
6505,type1
6506,type1
6507,type1
6509,type2
7172,type1
7184,type1
7192,type1
7194,type1
7195,type1
7196,type1
7197,type1
7206,type1
7212,type1
7229,type1
7230,type1
7233,type1
7242,nema520
7245,type1
7250,type1
7280,type1
7286,type1
21351,type2
21358,type1
21360,type1
21368,type1
21374,type1
21395,type1
21396,type1
21397,type1
21398,type1
21402,type1
21414,type1
21419,type1
21419,nema520
21450,type1
21498,type1
21524,type1
21525,type1
21535,type1
21559,type1
21561,type1
21565,type1
21565,nema515
21566,type1
21569,type1
21594,type1
21606,type1
21607,type1
21608,type1
21609,type1
21612,type1
21618,type1
21673,type1
21673,nema520
21713,type1
21713,nema520
21794,type1
25171,type1
25491,type1
25494,type1
25494,nema520
25497,type1
25500,type1
25501,type1
25502,type1
25507,type1
25511,type1
25514,type1
25515,type1
25516,type1
25517,type1
25518,type1
25519,type1
25520,nema520
25522,type1
25523,type1
25525,type1
25527,type1
25610,type1
27036,nema520
27302,type1
27328,type1
27329,type1
27335,type2
28007,type1
29862,type1
32850,type1
32973,type1
33177,type1
33178,type1
33179,type1
33180,type1
33182,chademo
33182,type1
33183,type1
33351,type1
33378,type1
33378,nema515
33544,type1
33545,type1
33545,nema515
33550,type1
33555,type1
33556,type1
33557,type1
33557,nema520
33558,type1
33559,type1
33564,type1
33690,type1
33695,type1
33717,nema520
33921,type1
34106,type1
34829,nema520
34849,nema520
34859,type1
35146,type1
35149,type1
35258,type1
35272,nema520
35284,type1
35290,type1
35337,nema520
35480,type1
35557,type1
35560,type1
35561,type1
35562,type1
35562,nema520
35563,nema520
35620,type1
35620,nema520
35621,type1
35840,type1
35841,type1
36343,type1
36343,nema515
36363,nema515
36368,type1
36371,type1
36371,nema520
36378,type1
36532,nema520
36610,type1
36619,type1
36619,nema515
36709,type1
36710,type1
36711,type1
36923,type1
36924,type1
36924,nema520
36925,type1
36928,type1
36928,nema520
36931,type1
36931,nema520
36932,type1
36949,type1
36951,type1
37056,type1
37056,nema520
37097,type1
37104,type1
37150,type1
37151,type1
37154,type1
37161,type1
37162,type1
37166,type1
37170,type1
37171,type1
37181,type1
37651,type1
37655,type1
37673,type1
37679,type1
37681,type1
37683,type1
37813,type1
37835,type1
38082,type1
38083,type1
38096,type1
38254,type1
38298,type1
38299,type1
38300,type1
38301,type1
38302,type1
38303,type1
38304,type1
38305,type1
38306,type1
