vid,port
72475a6a-aae2-da13-1d17-94cc07e5104f,type2
6033b26c-1b3c-441b-9f78-7b7cd5512051,type2
1c9126d4-24d6-4e9f-a49d-15813fa49728,type2
d97748b1-e384-4238-a225-d498bccd902c,type2
3e99e8b9-dcea-755b-2b49-781757dd3946,type2
04baeaa4-6bfc-4700-a553-20748aab54be,type2
6f9de791-c484-9c22-ba3c-306ace49de76,type2
0ae12bf4-e82a-622b-f669-2fa7bdf4b2fb,type2
409a3d54-3dec-b5bb-5d6c-2a48749728c3,type2
c6a6bd26-6a8f-4ab7-baf3-6cfa057044e3,type2
cfaf82d8-0255-4e13-8bf7-2711ed619bfb,type2
a9a177bf-9ce5-4b67-b3ef-51af248b48c2,type2
27d7610e-9a77-498a-b1b5-28d4bc92cbf2,type2
059c028d-b2a6-4a8d-947a-158c7537b290,type2
c8e05c0b-05c0-4aac-9f12-35a6a3687e10,type2
d5719a82-d898-45b5-a8f7-95cd89c9d886,type2
0ee859e4-e1d4-4a1c-88bc-acc42ba0d503,type2
81fabe9c-6f4a-4590-8170-8672cf556342,type2
dd6918fe-4a13-4420-b6f1-508b0a4f959d,type2
63028928-53d3-4049-9964-9109ba005599,type2
9cb39abb-097d-442c-87e4-1437134898e1,type2
aceb9326-181f-cc73-0467-4c63ee47c0fb,type2
e59115ea-4d72-094c-2941-1494f8005ae2,type2
65dbdb2c-2dc1-55c8-2c64-52aa1a058bde,type2
afc8b8fa-3bd3-0488-1c5e-3dee70e61eff,type2
a616dcbc-4149-0421-9e0b-0dc594a702e0,type2
b322c1ff-4efd-fa27-bb63-6974227c4c91,type2
9685bd64-53aa-4b5f-9322-c04005d11edf,type2
70606668-9b9e-a8d7-6c15-e4198f3eb38a,type2
157486bb-1636-1b35-6382-b6320ab2a80e,type2
6177d44b-2aae-dc5f-a770-6900b81c91dd,type2
01936832-c987-da0e-cbb3-9f6793becdfe,type2
9587d885-c16c-7465-9a18-59b5d50fd046,type2
8be48c23-71fe-04a4-b8e6-36364a3d0cc0,type2
1914d6e6-7d1b-c453-53ac-69a302a6a339,type2
dda42a87-6ea2-fbb5-7728-f25badd52364,type2
0efa3174-34f1-bc1d-cd5a-07610fa59c15,type2
2b04eeba-1de9-9719-adce-0a9df359b329,type2
8c3ec01d-8419-6ef6-8411-56b351fb6643,type2
8653e2d2-5e7d-5172-89ef-71ba177ec0ee,type2
2db395d2-56a0-d1a7-cddb-0b4076071e76,type2
bed96790-afa0-be7a-015a-55bc42c49894,type2
39e0d641-d1c4-0764-16f8-2ff6bc1d97de,type2
564ce4d8-404c-6840-5bf6-9ffd6a9768ac,type2
555c0b5b-ba1e-741a-27e0-dee32087e2a2,type2
e67dc450-d658-4bee-bd0f-a750d445b2f9,type2
dbf24ffc-3270-409b-b4da-ec386fa36657,type2
4df1d4d6-f001-4d0a-b284-5ffc07e6ade2,type2
0ec3f440-136c-49f1-8917-c629a27146c7,type2
cf9d35a6-8c61-44da-97fc-e1212b0f8fbd,type2
823d8294-a3b3-40ab-a140-fa1e11e44c4e,type2
262ae184-9095-41ca-aaa0-9db46869f362,type2
2390340c-4405-4ca8-b0a5-1565dc842d5a,type2
5da32d2e-f470-42c0-bf12-1db2336326ab,type2
ec2fa6bc-3470-4e80-a10f-eecc62321580,type2
c0217035-4247-877f-43ba-446d583db76c,type2
a9344438-3cea-e564-5532-969591f070c8,type2
93754920-4a86-c1e9-7f58-7b183afbdbef,type2
ab631897-9d68-4971-8cbc-b81d0ef2ccaa,type2
7508892b-e7e7-42ba-9cca-57753426cd86,type1
6a4c5e58-d1cb-49ad-a1cf-c0025fb7246f,type1
b8a76fa8-97f1-4f27-8f9f-80f26df230d1,type1
b8a76fa8-97f1-4f27-8f9f-80f26df230d1,type2
45b68c71-cd11-4bd7-a03f-fdaae259635d,type1
e8773876-6036-4a6c-926e-5490aae58971,type1
69d3b6cb-70a7-47a5-8e04-3a14d3576b36,type2
e2d5a248-d966-4b08-8fb0-9383fa84b713,type2
870f1edc-6c06-444f-9bc1-0074b6409cbb,type2
8bcc442d-1c0e-4efc-9bda-98cac700a98d,type2
430ca2cd-bd4b-482a-8776-85a8c7d3435c,type2
3b5bb8d1-0f34-4c05-861c-45d19a8883b9,type2
ee64213e-fa1d-425e-b90e-6cff9c2a3469,type2
db0f0c27-ec80-7479-a5ff-ca8fef1adb1b,type2
52528a60-360d-0fd8-05ec-826572b4d327,type1
791a1d30-5072-d27e-7f01-7b2f4bf5d4f3,type1
e69c9424-5b15-e141-ea6a-963c93a9039c,type1
2f2b159b-9b03-450f-9818-c139323d1735,type1
22f521ce-42ca-40d7-bfdb-5d33b1bd9cbe,type2
6cd5ba89-6523-4bca-9423-ea92227a8b8d,type2
c0a26929-1157-4fb4-a999-4f172df9cad7,type2
4ea0fb0a-8d77-4a03-a147-5e962f8ea766,type2
4d84c2e6-2902-4086-aa87-f3852a42d15d,type2
f44095b1-b4b0-430b-a88f-257a164d9dfd,type2
b93051f8-a4c4-488f-9862-6c92a8ab7f11,type2
b1aa6457-c0af-458d-96dc-178ad1977e47,type2
2a41f004-7fe8-4dfe-8e6c-57691c9b6283,type2
5bfa9a87-7b35-4e3a-bd3f-dc2ac55e184b,type2
3038b11b-2dfc-4f9f-b22c-4bfdc08d0c4b,type2
b58bc94d-d929-ad71-d95b-08b877bf76ba,type2
c1fd1277-5d77-416b-bb25-84bd21f57963,type2
6cc437e9-b842-4c1b-9c08-9ca2d46d22a9,type2
8df35b23-dcc6-4590-83c7-5578da4c4809,type2
e81564b0-46e3-41f6-b6a6-70370a37f685,type2
c576bee8-8066-4174-bc69-5fe9f2e666ee,type2
3667752d-17a5-4166-abaf-dcf227948bfd,type2
8da12395-cf7a-4ccf-886f-e25ade426457,type2
755da8dd-f3d7-48de-a92a-bee65c5e6201,type2
f77ac610-ac67-48c7-af8a-f78e0bf31c70,type2
fe545103-2f35-fe06-302a-8d1f5e673d0f,type2
9b0481fc-60cf-5975-6eb2-ce03cd7bc5f8,type2
776644a5-1ec8-cb13-92d1-ac9d10c36826,type2
5e1746c9-56a2-4fb9-8a76-b75c95a037ee,type2
68cbedff-8994-4b77-bfb5-6aa22962e3a2,type2
0f7eae0b-43be-48f8-b4a0-1a8266fd07a9,type2
66cb7bea-24b7-458f-ae3e-11d4a852568b,type2
63cd9718-5737-4898-a4f4-e594b28c74c0,type2
add28704-7b59-474d-bfa6-2338e54ccaef,type2
87e73c44-93ba-4687-877c-32a3aa940a09,type2
58661a4c-e1f9-4dc2-8d09-3bb42be62554,type2
3c933da2-1fa1-4094-825a-a181610dbfd0,type2
600a7816-ea65-4e6a-ac91-c5528b379028,type2
b97f749b-5361-4116-8103-c208dc601a0b,type2
84f2fcc1-cc73-4919-8d76-0f1ba8eaf685,type2
a883bb35-270d-4f31-9169-ccf06ae3c0c5,type2
e7717ac1-90fa-4bea-9272-52afc10facc4,type2
c1fda7bf-9307-03c9-86c1-0350de0994cb,type2
8b0195b6-5318-46d9-a6fd-1b5f75e8b495,type2
2ae110f8-8906-4b03-b4bc-83e5577c1cc1,type2
176af738-f385-4dc8-9243-9c701fbd7759,type2
8a5cd1a2-f84a-22b9-b397-470fe5ca5bca,type2
5335d545-cfeb-4bca-bb11-cf0966f1b5ca,type2
0fad0871-8a99-6506-9c09-837f9ede132d,type2
6bbd3cdd-2b11-43cd-85b9-4556937f9f82,type2
71cc8552-391f-49b0-b106-2202fa222161,type2
1e8c0cc5-20db-491f-9242-12cf3bc7b962,type2
46240342-6f7e-4767-b66d-3234ba874a30,type2
f45de10a-764f-4a7e-9591-b974d0b87038,type2
b0da6660-c20e-40c3-9db7-0b19c478c6cb,type2
7fe5b0f6-aa07-4900-a109-a2b04117b762,type2
22cd1b30-c5ec-4042-85c0-159a154c590a,type2
8b51a06f-676a-46aa-9074-4d3364ea1cca,type2
4a5d82a6-9778-41a6-8e85-1fa108897f30,type2
ed02b1b2-f89d-432d-9e62-4feb8fb9cf97,type2
0a853f34-7c1f-492a-ae34-937767f53cbd,type2
cb56eb6c-33a6-40d7-9e4b-53625fd8385c,type2
5ca66d3a-8a33-48f5-a0b9-d8bbf25a6e24,type2
8cfce5f4-23b6-470a-87fa-a04095fe0334,type2
d8c11860-a582-4784-9e58-d29e94a67fc2,type2
2c7abcf4-0ba0-4feb-9e9b-b47661072feb,type1
1847e3aa-750c-4b12-a80a-56e792b3aadb,type1
2644bfd3-a593-4276-bb1f-c8965e33797e,type1
86290f48-f554-4db5-bd35-4a8b7828689a,type1
daa3573d-60ea-4c7a-8048-79c575e3db4c,type1
78b14a0f-5c62-4885-95ef-2e3f81197260,type2
